EMAIL_USER,TEN_CHI_TIEU_CODE,TRONG_SO_CHITIEU, CHI_TIEU_THANG 
ANHNT110,Ban_an_UNS,33%, 10.00 
anhnt110,QD_THA_UNS,33%, 34.33 
ANHNT110,2_So_thu,50%, -   
ANHNT110,BB_SEC_non_WO,68%, 35.92 
ANHNT110,BB_SEC_WO,7%, 1.07 
ANHNT110,GB_All,4%, 2.32 
ANHNT110,BB_UNS,5%, 2.81 
ANHNT110,Thu_Giu,15%, 72.27 
ANHNT182,Total,100%, -   
ANHNT182,1_To_tung,50%, -   
ANHNT182,To_tung_SEC,100%,
ANHNT182,Thu_ly_SEC,30%, 230.73 
ANHNT182,Tham_dinh_SEC,30%, 331.51 
ANHNT182,Ban_an_SEC,40%, 179.17 
ANHNT182,To_tung_UNS,0%,
ANHNT182,Thu_ly_UNS,0%, -   
ANHNT182,Ban_an_UNS,0%, -   
ANHNT182,2_So_thu,50%,
ANHNT182,BB_SEC_non_WO,42%, 52.44 
ANHNT182,BB_SEC_WO,38%, 12.56 
ANHNT182,GB_All,5%, 1.71 
ANHNT182,BB_UNS,0%, -   
ANHNT182,Thu_Giu,15%, 128.77 
BINHNQ4,Total,100%,
BINHNQ4,1_To_tung,50%, -   
BINHNQ4,To_tung_SEC,50%, -   
BINHNQ4,Thu_ly_SEC,20%, 71.20 
BINHNQ4,Tham_dinh_SEC,20%, 118.70 
BINHNQ4,Ban_an_SEC,20%, 36.15 
binhnq4,QD_THA_SEC,20%, 37.28 
binhnq4,Ke_bien_SEC,20%, 2.66 
BINHNQ4,To_tung_UNS,50%, -   
BINHNQ4,Thu_ly_UNS,33%, 28.00 
BINHNQ4,Ban_an_UNS,33%, 3.00 
binhnq4,QD_THA_UNS,33%, 3.42 
BINHNQ4,2_So_thu,50%, -   
BINHNQ4,BB_SEC_non_WO,50%, 80.69 
BINHNQ4,BB_SEC_WO,25%, 10.60 
BINHNQ4,GB_All,5%, 1.61 
BINHNQ4,BB_UNS,5%, 2.84 
BINHNQ4,Thu_Giu,15%, 32.39 
CHAUTM6,Total,100%, -   
CHAUTM6,1_To_tung,50%, -   
CHAUTM6,To_tung_SEC,50%,
CHAUTM6,Thu_ly_SEC,20%, 6.34 
CHAUTM6,Tham_dinh_SEC,20%, 8.36 
CHAUTM6,Ban_an_SEC,20%, 4.59 
Chautm6,QD_THA_SEC,20%, 68.22 
Chautm6,Ke_bien_SEC,20%, 6.21 
CHAUTM6,To_tung_UNS,50%,
CHAUTM6,Thu_ly_UNS,0%, -   
CHAUTM6,Ban_an_UNS,0%, -   
Chautm6,QD_THA_UNS,100%, 10.09 
CHAUTM6,2_So_thu,50%, -   
CHAUTM6,BB_SEC_non_WO,51%, 72.50 
CHAUTM6,BB_SEC_WO,24%, 9.36 
CHAUTM6,GB_All,5%, 4.06 
CHAUTM6,BB_UNS,5%, 1.02 
CHAUTM6,Thu_Giu,15%, 19.66 
CUONGNT45,Total,100%,
CUONGNT45,1_To_tung,50%, -   
CUONGNT45,To_tung_SEC,50%, -   
CUONGNT45,Thu_ly_SEC,30%, 48.37 
CUONGNT45,Tham_dinh_SEC,30%, 19.58 
CUONGNT45,Ban_an_SEC,40%, 4.58 
CUONGNT45,To_tung_UNS,50%, -   
CUONGNT45,Thu_ly_UNS,50%, 85.00 
CUONGNT45,Ban_an_UNS,50%, 18.00 
CUONGNT45,2_So_thu,50%, -   
CUONGNT45,BB_SEC_non_WO,60%, 23.58 
CUONGNT45,BB_SEC_WO,5%, 0.57 
CUONGNT45,GB_All,6%, 2.22 
CUONGNT45,BB_UNS,14%, 5.70 
CUONGNT45,Thu_Giu,15%, 1.63 
DINHDC3,Total,100%, -   
DINHDC3,1_To_tung,50%,
DINHDC3,To_tung_SEC,50%,
DINHDC3,Thu_ly_SEC,20%, 51.09 
DINHDC3,Tham_dinh_SEC,20%, 54.96 
DINHDC3,Ban_an_SEC,20%, 13.52 
DINHDc3,QD_THA_SEC,20%, 22.49 
DINHDc3,Ke_bien_SEC,20%, 3.26 
DINHDC3,To_tung_UNS,50%, -   
DINHDC3,Thu_ly_UNS,33%, 68.00 
DINHDC3,Ban_an_UNS,33%, 3.00 
DINHDc3,QD_THA_UNS,33%, 1.66 
DINHDC3,2_So_thu,50%, -   
DINHDC3,BB_SEC_non_WO,56%, 46.01 
DINHDC3,BB_SEC_WO,19%, 4.12 
DINHDC3,GB_All,5%, 1.06 
DINHDC3,BB_UNS,5%, 3.03 
DINHDC3,Thu_Giu,15%, 14.10 
DUNGNA18,Total,100%,
DUNGNA18,1_To_tung,50%,
DUNGNA18,To_tung_SEC,50%, -   
DUNGNA18,Thu_ly_SEC,20%, 41.70 
DUNGNA18,Tham_dinh_SEC,20%, 58.22 
DUNGNA18,Ban_an_SEC,20%, 1.00 
dungna18,QD_THA_SEC,20%, 1.16 
dungna18,Ke_bien_SEC,20%, 0.37 
DUNGNA18,To_tung_UNS,50%, -   
DUNGNA18,Thu_ly_UNS,33%, 90.00 
DUNGNA18,Ban_an_UNS,33%, 14.00 
dungna18,QD_THA_UNS,33%, 4.98 
DUNGNA18,2_So_thu,50%, -   
DUNGNA18,BB_SEC_non_WO,66%, 28.36 
DUNGNA18,BB_SEC_WO,5%, 0.25 
DUNGNA18,GB_All,5%, 2.02 
DUNGNA18,BB_UNS,9%, 3.86 
DUNGNA18,Thu_Giu,15%, 34.45 
DUONGLVQ,Total,100%, -   
DUONGLVQ,1_To_tung,50%, -   
DUONGLVQ,To_tung_SEC,0%, -   
DUONGLVQ,Thu_ly_SEC,0%, -   
DUONGLVQ,Tham_dinh_SEC,0%, -   
DUONGLVQ,Ban_an_SEC,0%, -   
DUONGLVQ,To_tung_UNS,100%, -   
DUONGLVQ,Thu_ly_UNS,50%, 87.00 
DUONGLVQ,Ban_an_UNS,50%, 18.00 
DUONGLVQ,2_So_thu,50%,
DUONGLVQ,BB_SEC_non_WO,5%, 0.00 
DUONGLVQ,BB_SEC_WO,0%, -   
DUONGLVQ,GB_All,0%, -   
DUONGLVQ,BB_UNS,95%, 9.66 
HAULV4,Total,100%, -   
HAULV4,1_To_tung,50%,
HAULV4,To_tung_SEC,50%, -   
HAULV4,Thu_ly_SEC,20%, 65.77 
HAULV4,Tham_dinh_SEC,20%, 24.94 
HAULV4,Ban_an_SEC,20%, 1.74 
Haulv4,QD_THA_SEC,20%, 12.56 
Haulv4,Ke_bien_SEC,20%, 2.42 
HAULV4,To_tung_UNS,50%, -   
HAULV4,Thu_ly_UNS,33%, 20.00 
HAULV4,Ban_an_UNS,33%, 8.00 
Haulv4,QD_THA_UNS,33%, 6.65 
HAULV4,2_So_thu,50%,
HAULV4,BB_SEC_non_WO,52%, 19.52 
HAULV4,BB_SEC_WO,5%, 0.14 
HAULV4,GB_All,12%, 4.63 
HAULV4,BB_UNS,15%, 5.78 
HAULV4,Thu_Giu,15%, 23.09 
HIEPVD2,Total,100%, -   
HIEPVD2,1_To_tung,50%, -   
HIEPVD2,To_tung_SEC,0%, -   
HIEPVD2,Thu_ly_SEC,0%, -   
HIEPVD2,Tham_dinh_SEC,0%, -   
HIEPVD2,Ban_an_SEC,0%, -   
HIEPVD2,To_tung_UNS,100%,
HIEPVD2,Thu_ly_UNS,50%, 155.00 
HIEPVD2,Ban_an_UNS,50%, 22.00 
HIEPVD2,2_So_thu,50%, -   
HIEPVD2,BB_SEC_non_WO,0%, -   
HIEPVD2,BB_SEC_WO,0%, -   
HIEPVD2,GB_All,0%, -   
HIEPVD2,BB_UNS,100%, 8.26 
HOANGLD5,Total,100%, 1.00 
HOANGLD5,1_To_tung,50%,
HOANGLD5,To_tung_SEC,0%, -   
HOANGLD5,Thu_ly_SEC,0%, -   
HOANGLD5,Tham_dinh_SEC,0%, -   
HOANGLD5,Ban_an_SEC,0%, -   
HOANGLD5,To_tung_UNS,100%,
HOANGLD5,Thu_ly_UNS,50%, 74.00 
HOANGLD5,Ban_an_UNS,50%, 8.00 
HOANGLD5,2_So_thu,50%,
HOANGLD5,BB_SEC_non_WO,0%, -   
HOANGLD5,BB_SEC_WO,0%, -   
HOANGLD5,GB_All,0%, -   
HOANGLD5,BB_UNS,100%, 6.08 
HUONGTTA,Total,100%,
HUONGTTA,2_So_thu,100%,
HUONGTTA,So_thu_SEC,100%, 41.40 
HUYNT13,Total,100%,
HUYNT13,1_To_tung,50%,
HUYNT13,To_tung_SEC,50%,
HUYNT13,Thu_ly_SEC,20%, 27.62 
HUYNT13,Tham_dinh_SEC,20%, 20.13 
HUYNT13,Ban_an_SEC,20%, 4.28 
huynt13,QD_THA_SEC,20%, 17.58 
huynt13,Ke_bien_SEC,20%, 4.33 
HUYNT13,To_tung_UNS,50%,
HUYNT13,Thu_ly_UNS,33%, 45.00 
HUYNT13,Ban_an_UNS,33%, 6.00 
huynt13,QD_THA_UNS,33%, 2.15 
HUYNT13,2_So_thu,50%,
HUYNT13,BB_SEC_non_WO,44%, 21.80 
HUYNT13,BB_SEC_WO,33%, 4.44 
HUYNT13,GB_All,4%, 1.71 
HUYNT13,BB_UNS,4%, 1.01 
huynt13,Thu_Giu,15%, 7.88 
KHANHTT1,Total,100%,
KHANHTT1,1_To_tung,50%, -   
KHANHTT1,To_tung_SEC,0%, -   
KHANHTT1,Thu_ly_SEC,0%, -   
KHANHTT1,Tham_dinh_SEC,0%, -   
KHANHTT1,Ban_an_SEC,0%, -   
KHANHTT1,To_tung_UNS,100%, -   
KHANHTT1,Thu_ly_UNS,50%, 95.00 
KHANHTT1,Ban_an_UNS,50%, 12.00 
KHANHTT1,2_So_thu,50%, -   
KHANHTT1,BB_SEC_non_WO,0%, -   
KHANHTT1,BB_SEC_WO,0%, -   
KHANHTT1,GB_All,0%, -   
KHANHTT1,BB_UNS,100%, 9.30 
KHOAVD6,Total,100%, -   
KHOAVD6,1_To_tung,50%, -   
KHOAVD6,To_tung_SEC,100%,
KHOAVD6,Thu_ly_SEC,30%, 61.90 
KHOAVD6,Tham_dinh_SEC,30%, 28.95 
KHOAVD6,Ban_an_SEC,40%, 20.42 
KHOAVD6,To_tung_UNS,0%,
KHOAVD6,Thu_ly_UNS,0%, -   
KHOAVD6,Ban_an_UNS,0%, -   
KHOAVD6,2_So_thu,50%,
KHOAVD6,BB_SEC_non_WO,52%, 40.26 
KHOAVD6,BB_SEC_WO,28%, 5.98 
KHOAVD6,GB_All,5%, 1.47 
KHOAVD6,BB_UNS,0%, -   
KHOAVD6,Thu_Giu,15%, 11.42 
KIENNT24,Total,100%,
KIENNT24,1_To_tung,50%, -   
KIENNT24,To_tung_SEC,0%, -   
KIENNT24,Thu_ly_SEC,0%, -   
KIENNT24,Tham_dinh_SEC,0%, -   
KIENNT24,Ban_an_SEC,0%, -   
KIENNT24,To_tung_UNS,100%, -   
KIENNT24,Thu_ly_UNS,50%, 118.00 
KIENNT24,Ban_an_UNS,50%, 15.00 
KIENNT24,2_So_thu,50%, -   
KIENNT24,BB_SEC_non_WO,0%, -   
KIENNT24,BB_SEC_WO,0%, -   
KIENNT24,GB_All,0%, -   
KIENNT24,BB_UNS,100%, 9.42 
LENT12,Total,100%, -   
LENT12,1_To_tung,50%, -   
LENT12,To_tung_SEC,50%,
LENT12,Thu_ly_SEC,30%, 42.65 
LENT12,Tham_dinh_SEC,30%, 75.64 
LENT12,Ban_an_SEC,40%, 38.33 
LENT12,To_tung_UNS,50%,
LENT12,Thu_ly_UNS,33%, 11.00 
LENT12,Ban_an_UNS,33%, 4.00 
LENT12,QD_THA_UNS,33%, 4.94 
LENT12,2_So_thu,50%, -   
LENT12,BB_SEC_non_WO,69%, 24.25 
LENT12,BB_SEC_WO,0%, -   
LENT12,GB_All,9%, 3.07 
LENT12,BB_UNS,7%, 2.35 
lent12,Thu_Giu,15%, 27.64 
LUANLT1,Total,100%,
LUANLT1,1_To_tung,50%, -   
LUANLT1,To_tung_SEC,50%, -   
LUANLT1,Thu_ly_SEC,30%, 67.36 
LUANLT1,Tham_dinh_SEC,30%, 24.68 
LUANLT1,Ban_an_SEC,40%, 7.57 
LUANLT1,To_tung_UNS,50%, -   
LUANLT1,Thu_ly_UNS,50%, 92.00 
LUANLT1,Ban_an_UNS,50%, 22.00 
LUANLT1,2_So_thu,50%, -   
LUANLT1,BB_SEC_non_WO,75%, 40.92 
LUANLT1,BB_SEC_WO,9%, 1.26 
LUANLT1,GB_All,5%, 2.53 
LUANLT1,BB_UNS,12%, 6.33 
MAINT18,Total,100%, -   
MAINT18,1_To_tung,50%,
MAINT18,To_tung_SEC,100%,
MAINT18,Thu_ly_SEC,30%, 20.04 
MAINT18,Tham_dinh_SEC,30%, 68.72 
MAINT18,Ban_an_SEC,40%, 13.91 
MAINT18,To_tung_UNS,0%, -   
MAINT18,Thu_ly_UNS,0%, -   
MAINT18,Ban_an_UNS,0%, -   
MAINT18,2_So_thu,50%, -   
MAINT18,BB_SEC_non_WO,72%, 49.86 
MAINT18,BB_SEC_WO,8%, 1.41 
MAINT18,GB_All,5%, 1.18 
MAINT18,BB_UNS,0%, -   
MAINT18,Thu_Giu,15%, 14.17 
MINHTH16,Total,100%,
MINHTH16,1_To_tung,50%,
MINHTH16,To_tung_SEC,50%, -   
MINHTH16,Thu_ly_SEC,30%, 362.89 
MINHTH16,Tham_dinh_SEC,30%, 105.87 
MINHTH16,Ban_an_SEC,40%, 48.35 
MINHTH16,To_tung_UNS,50%, -   
MINHTH16,Thu_ly_UNS,50%, 20.00 
MINHTH16,Ban_an_UNS,50%, 5.00 
MINHTH16,2_So_thu,50%, -   
MINHTH16,BB_SEC_non_WO,72%, 53.75 
MINHTH16,BB_SEC_WO,4%, 0.43 
MINHTH16,GB_All,4%, 3.33 
MINHTH16,BB_UNS,5%, 3.58 
minhth16,Thu_Giu,15%, 82.59 
QUANGVN,Total,100%, -   
QUANGVN,1_To_tung,50%, -   
QUANGVN,To_tung_SEC,50%, -   
QUANGVN,Thu_ly_SEC,30%, 51.22 
QUANGVN,Tham_dinh_SEC,30%, 37.41 
QUANGVN,Ban_an_SEC,40%, 11.00 
QUANGVN,To_tung_UNS,50%, -   
QUANGVN,Thu_ly_UNS,50%, 60.00 
QUANGVN,Ban_an_UNS,50%, 6.00 
QUANGVN,2_So_thu,50%,
QUANGVN,BB_SEC_non_WO,82%, 36.42 
QUANGVN,BB_SEC_WO,5%, 0.32 
QUANGVN,GB_All,5%, 1.40 
QUANGVN,BB_UNS,8%, 3.60 
QUYNH7,Total,100%, -   
QUYNH7,1_To_tung,50%,
QUYNH7,To_tung_SEC,50%, -   
QUYNH7,Thu_ly_SEC,20%, 45.87 
QUYNH7,Tham_dinh_SEC,20%, 105.33 
QUYNH7,Ban_an_SEC,20%, 29.61 
quynh7,QD_THA_SEC,20%, 23.97 
quynh7,Ke_bien_SEC,20%, 11.86 
QUYNH7,To_tung_UNS,50%, -   
QUYNH7,Thu_ly_UNS,33%, 123.00 
QUYNH7,Ban_an_UNS,33%, 10.00 
quynh7,QD_THA_UNS,33%, 14.51 
QUYNH7,2_So_thu,50%,
QUYNH7,BB_SEC_non_WO,60%, 29.55 
QUYNH7,BB_SEC_WO,5%, 0.71 
QUYNH7,GB_All,11%, 5.61 
QUYNH7,BB_UNS,8%, 4.12 
quynh7,Thu_Giu,15%, 39.61 
SONBV,Total,100%, -   
SONBV,1_To_tung,50%, -   
SONBV,To_tung_SEC,50%, -   
SONBV,Thu_ly_SEC,20%, 141.48 
SONBV,Tham_dinh_SEC,20%, 94.23 
SONBV,Ban_an_SEC,20%, 8.20 
sonbv,QD_THA_SEC,20%, 21.18 
sonbv,Ke_bien_SEC,20%, 0.25 
SONBV,To_tung_UNS,50%,
SONBV,Thu_ly_UNS,33%, 240.00 
SONBV,Ban_an_UNS,33%, 48.00 
sonbv,QD_THA_UNS,33%, 16.29 
SONBV,2_So_thu,50%, -   
SONBV,BB_SEC_non_WO,60%, 38.83 
SONBV,BB_SEC_WO,5%, 0.48 
SONBV,GB_All,11%, 9.54 
SONBV,BB_UNS,9%, 8.26 
SONBV,Thu_Giu,15%, 61.57 
TAIDTT1,Total,100%, -   
TAIDTT1,1_To_tung,50%,
TAIDTT1,To_tung_SEC,50%, -   
TAIDTT1,Thu_ly_SEC,20%, 279.97 
TAIDTT1,Tham_dinh_SEC,20%, 102.47 
TAIDTT1,Ban_an_SEC,20%, 49.75 
taidtt1,QD_THA_SEC,20%, 49.82 
taidtt1,Ke_bien_SEC,20%, 13.25 
TAIDTT1,To_tung_UNS,50%,
TAIDTT1,Thu_ly_UNS,33%, 121.00 
TAIDTT1,Ban_an_UNS,33%, 10.00 
taidtt1,QD_THA_UNS,33%, 4.74 
TAIDTT1,2_So_thu,50%,
TAIDTT1,BB_SEC_non_WO,69%, 87.56 
TAIDTT1,BB_SEC_WO,5%, 1.88 
TAIDTT1,GB_All,6%, 7.55 
TAIDTT1,BB_UNS,4%, 3.90 
taidtt1,Thu_Giu,15%, 66.02 
THANGLD4,Total,100%, -   
THANGLD4,1_To_tung,50%, -   
THANGLD4,To_tung_SEC,50%,
THANGLD4,Thu_ly_SEC,20%, 43.27 
THANGLD4,Tham_dinh_SEC,20%, 44.35 
THANGLD4,Ban_an_SEC,20%, 4.47 
Thangld4,QD_THA_SEC,20%, 39.02 
Thangld4,Ke_bien_SEC,20%, 3.42 
THANGLD4,To_tung_UNS,50%, -   
THANGLD4,Thu_ly_UNS,33%, 150.00 
THANGLD4,Ban_an_UNS,33%, 14.00 
Thangld4,QD_THA_UNS,33%, 6.55 
THANGLD4,2_So_thu,50%, -   
THANGLD4,BB_SEC_non_WO,47%, 49.77 
THANGLD4,BB_SEC_WO,29%, 8.35 
THANGLD4,GB_All,4%, 0.90 
THANGLD4,BB_UNS,4%, 4.09 
Thangld4,Thu_Giu,15%, 10.37 
THANHNX3,Total,100%,
THANHNX3,1_To_tung,50%,
THANHNX3,To_tung_SEC,50%,
THANHNX3,Thu_ly_SEC,30%, 59.08 
THANHNX3,Tham_dinh_SEC,30%, 70.47 
THANHNX3,Ban_an_SEC,40%, 29.08 
THANHNX3,To_tung_UNS,50%,
THANHNX3,Thu_ly_UNS,50%, 144.00 
THANHNX3,Ban_an_UNS,50%, 10.00 
THANHNX3,2_So_thu,50%,
THANHNX3,BB_SEC_non_WO,75%, 60.37 
THANHNX3,BB_SEC_WO,10%, 2.26 
THANHNX3,GB_All,5%, 2.36 
THANHNX3,BB_UNS,9%, 7.54 
THANHQD2,Total,100%,
THANHQD2,1_To_tung,50%, -   
THANHQD2,To_tung_SEC,50%, -   
THANHQD2,Thu_ly_SEC,20%, 23.32 
THANHQD2,Tham_dinh_SEC,20%, 63.58 
THANHQD2,Ban_an_SEC,20%, 4.29 
Thanhqd2,QD_THA_SEC,20%, 3.38 
Thanhqd2,Ke_bien_SEC,20%, 1.99 
THANHQD2,To_tung_UNS,50%, -   
THANHQD2,Thu_ly_UNS,33%, 23.00 
THANHQD2,Ban_an_UNS,33%, 4.00 
Thanhqd2,QD_THA_UNS,33%, 1.50 
THANHQD2,2_So_thu,50%, -   
THANHQD2,BB_SEC_non_WO,56%, 22.22 
THANHQD2,BB_SEC_WO,12%, 1.26 
THANHQD2,GB_All,4%, 1.50 
THANHQD2,BB_UNS,13%, 5.33 
Thanhqd2,Thu_Giu,15%, 28.29 
THANHVV,Total,100%, -   
THANHVV,1_To_tung,50%, -   
THANHVV,To_tung_SEC,100%,
THANHVV,Thu_ly_SEC,30%, 79.35 
THANHVV,Tham_dinh_SEC,30%, 82.72 
THANHVV,Ban_an_SEC,40%, 31.85 
THANHVV,To_tung_UNS,0%,
THANHVV,Thu_ly_UNS,0%, -   
THANHVV,Ban_an_UNS,0%, -   
THANHVV,2_So_thu,50%,
THANHVV,BB_SEC_non_WO,66%, 49.60 
THANHVV,BB_SEC_WO,14%, 2.79 
THANHVV,GB_All,5%, 3.71 
THANHVV,BB_UNS,0%, -   
THANHVV,Thu_Giu,15%, 55.35 
TOANPV13,Total,100%,
TOANPV13,1_To_tung,50%, -   
TOANPV13,To_tung_SEC,50%, -   
TOANPV13,Thu_ly_SEC,20%, 99.92 
TOANPV13,Tham_dinh_SEC,20%, 41.09 
TOANPV13,Ban_an_SEC,20%, 14.48 
toanpv13,QD_THA_SEC,20%, 14.24 
toanpv13,Ke_bien_SEC,20%, 22.85 
TOANPV13,To_tung_UNS,50%, -   
TOANPV13,Thu_ly_UNS,33%, 171.00 
TOANPV13,Ban_an_UNS,33%, 11.00 
toanpv13,QD_THA_UNS,33%, 4.59 
TOANPV13,2_So_thu,50%, -   
TOANPV13,BB_SEC_non_WO,58%, 27.28 
TOANPV13,BB_SEC_WO,12%, 1.53 
TOANPV13,GB_All,5%, 1.90 
TOANPV13,BB_UNS,10%, 4.93 
TOANPV13,Thu_Giu,15%, 29.94 
TUNGLV3,Total,100%, -   
TUNGLV3,1_To_tung,50%, -   
TUNGLV3,To_tung_SEC,50%,
TUNGLV3,Thu_ly_SEC,20%, 95.71 
TUNGLV3,Tham_dinh_SEC,20%, 140.49 
TUNGLV3,Ban_an_SEC,20%, 47.01 
tunglv3,QD_THA_SEC,20%, 49.02 
tunglv3,Ke_bien_SEC,20%, 11.74 
TUNGLV3,To_tung_UNS,50%,
TUNGLV3,Thu_ly_UNS,33%, 152.00 
TUNGLV3,Ban_an_UNS,33%, 26.00 
tunglv3,QD_THA_UNS,33%, 15.54 
TUNGLV3,2_So_thu,50%, -   
TUNGLV3,BB_SEC_non_WO,61%, 62.17 
